-6172.9,-6172.8,-6173,-6172.7,-6173.1,-6171.2,-6169.9,-6170.5,-6171.7,-6172.9,-6173.3,-6172.6,-6173.2,-6175.4,-6175,-6174.9,-6174.3,-6174.1,-6177.2,-6179,-6177.9,-6178,-6180.3,-6183.1,-6184.1,-6183.1
-2651.8,-2651.4,-2650.4,-2648.9,-2649.9,-2649.1,-2646.4,-2648.6,-2649.7,-2649.3,-2650.4,-2650.3,-2651,-2651.6,-2652.5,-2653.4,-2653.1,-2652.6,-2653.7,-2655.4,-2655,-2654.7,-2657.2,-2659,-2658.3,-2657.6
159.87,161.27,163.66,160.98,157.38,162.75,169.93,170.13,163.61,158.8,158.01,158.69,162.61,161.62,158.19,157.75,159.73,159.44,154.99,153.18,149.81,149.06,149.78,148.66,150.5,150.81
-17133,-17133,-17132,-17131,-17131,-17129,-17124,-17123,-17130,-17132,-17133,-17133,-17132,-17134,-17136,-17134,-17134,-17135,-17140,-17142,-17142,-17144,-17144,-17146,-17146,-17145
-10000,-9999.2,-9997.6,-9997.3,-9998,-9996.2,-9992.4,-9992.7,-9997.3,-9999.7,-9999.6,-9998.4,-9998,-10002,-10004,-10001,-10001,-10002,-10006,-10008,-10009,-10010,-10012,-10015,-10014,-10014
-7856.6,-7860.1,-7845.1,-7839.2,-7842.5,-7843.5,-7843.1,-7837.4,-7840.9,-7847.7,-7848.8,-7845.9,-7844.5,-7851.3,-7852.7,-7849.2,-7847,-7856.1,-7864.8,-7857.8,-7856,-7857.9,-7856.6,-7860.2,-7864.9,-7862.1
-11615,-11612,-11613,-11613,-11611,-11609,-11605,-11605,-11610,-11613,-11613,-11612,-11612,-11615,-11617,-11615,-11612,-11614,-11619,-11623,-11621,-11622,-11626,-11629,-11629,-11630
-6454.3,-6454.7,-6454.2,-6453.6,-6453.4,-6450.1,-6447.8,-6449.8,-6452.2,-6454.2,-6455.3,-6453.4,-6453.9,-6456,-6457.9,-6458.4,-6454.5,-6454.5,-6458.6,-6460.1,-6460.5,-6460.2,-6461,-6466.4,-6468.4,-6466.3
-6464.2,-6463.7,-6463.5,-6462.9,-6465.1,-6466.5,-6457.9,-6457.1,-6462.1,-6463.9,-6463.8,-6464.4,-6465.1,-6463.2,-6463,-6463,-6463.8,-6466,-6469.1,-6471.1,-6469.6,-6468.9,-6471.2,-6473.2,-6472.2,-6471.6
-7570.2,-7571.6,-7566,-7563.7,-7562.7,-7561.6,-7558.8,-7561,-7568.2,-7569.3,-7568.3,-7566.3,-7561.6,-7565.5,-7573.1,-7576.1,-7573.2,-7570,-7572.5,-7570.9,-7571.8,-7576.5,-7577.9,-7580.8,-7580.7,-7580.7
-9455.8,-9454.9,-9453.7,-9451.6,-9449.6,-9446.4,-9442.6,-9444.7,-9450.3,-9454.8,-9454.2,-9452.7,-9454.5,-9454.9,-9457.5,-9455.5,-9450.4,-9454.9,-9461.4,-9461.8,-9463.5,-9465.3,-9466.5,-9471.9,-9471.8,-9469
-12662,-12661,-12659,-12659,-12659,-12656,-12653,-12654,-12657,-12660,-12661,-12659,-12660,-12663,-12664,-12666,-12660,-12659,-12665,-12666,-12667,-12667,-12669,-12674,-12677,-12673
-6905.1,-6905.3,-6902.6,-6902,-6902.8,-6900.7,-6897.7,-6899.4,-6901,-6902.6,-6902.9,-6901.8,-6903.4,-6902.9,-6903.8,-6906.6,-6904.5,-6904.7,-6908.3,-6910.7,-6911.6,-6909.6,-6910.5,-6913.7,-6914,-6915.3
-14083,-14084,-14078,-14073,-14071,-14067,-14064,-14069,-14076,-14080,-14075,-14072,-14076,-14078,-14085,-14086,-14079,-14080,-14086,-14086,-14087,-14089,-14091,-14098,-14095,-14095
-643.99,-648.06,-647.53,-643.79,-641.72,-636.34,-631.77,-632.96,-638.8,-646.66,-646.95,-645.89,-647.59,-646.5,-650.37,-649.93,-642.4,-643.59,-649.86,-653.46,-656.31,-656.78,-658.45,-662.69,-662.8,-663.59
-9067.4,-9069.5,-9065.2,-9062.6,-9064.5,-9062.2,-9060.3,-9061.9,-9063.1,-9065.7,-9066.1,-9065.9,-9068.1,-9066.3,-9067.6,-9070.2,-9068.2,-9069.3,-9072.5,-9074.5,-9075.8,-9075.4,-9076.3,-9078.6,-9077.7,-9079.8
-9520.9,-9520.1,-9518.4,-9517.8,-9518.3,-9516.8,-9513.9,-9514.4,-9516.2,-9518,-9519,-9518.8,-9519.6,-9519.1,-9519.5,-9521.7,-9521.6,-9522.9,-9525.3,-9525.7,-9525.8,-9525.4,-9526.8,-9529.3,-9529.9,-9531.4
-10071,-10071,-10069,-10068,-10068,-10066,-10065,-10066,-10066,-10068,-10069,-10069,-10070,-10070,-10070,-10072,-10071,-10073,-10075,-10075,-10075,-10075,-10077,-10079,-10079,-10080
-1993.5,-1993.8,-1992.2,-1990,-1989.8,-1987.6,-1985.8,-1987.6,-1988.9,-1990.1,-1990.4,-1989.1,-1990.1,-1990.7,-1990.6,-1992,-1992.9,-1994.6,-1995.8,-1995.3,-1995.3,-1994,-1995.3,-1997.5,-1996.9,-1999.1
-431.86,-432.13,-430.16,-429.94,-429.8,-427.18,-423.88,-426.08,-429.24,-429.16,-427.89,-427.97,-429.54,-427.02,-427.35,-428.56,-428.53,-432.02,-431.08,-430.38,-430.83,-427.54,-429.07,-431.36,-431.06,-433.13
-15500,-15502,-15498,-15495,-15496,-15491,-15489,-15492,-15494,-15499,-15499,-15497,-15501,-15500,-15502,-15505,-15500,-15504,-15509,-15510,-15514,-15511,-15513,-15518,-15517,-15519
-10727,-10728,-10724,-10722,-10722,-10719,-10717,-10720,-10722,-10726,-10726,-10724,-10727,-10728,-10729,-10731,-10728,-10731,-10735,-10736,-10738,-10736,-10738,-10742,-10742,-10744
-2705.3,-2707,-2703.7,-2700.8,-2701.4,-2698.6,-2697.1,-2698.9,-2700.3,-2701.5,-2701.3,-2702.2,-2705,-2703.6,-2704.4,-2707.3,-2705.8,-2707.7,-2710.6,-2712.2,-2714.6,-2714.2,-2714.2,-2716.1,-2716.7,-2718.3
-4736.5,-4737.3,-4734.9,-4730.7,-4730.6,-4730.1,-4727.9,-4729.3,-4730.3,-4730.4,-4732.2,-4731.4,-4732.7,-4733.2,-4733.4,-4736.8,-4735.6,-4737.8,-4740.4,-4739.8,-4740.7,-4739.5,-4742.4,-4744.6,-4744.5,-4746.4
-1385.8,-1386.1,-1384.3,-1382.6,-1383,-1380.3,-1378.2,-1380,-1381.2,-1382.4,-1384.6,-1383.3,-1384.5,-1384.5,-1384.4,-1387,-1386.1,-1388,-1390.7,-1390.6,-1389.4,-1387.2,-1389.4,-1392.5,-1392.3,-1393.1
-1514.4,-1514.2,-1513.2,-1511,-1509.9,-1507.6,-1505.3,-1509,-1511,-1510.8,-1509.7,-1506.3,-1507.4,-1505.9,-1505.7,-1508.9,-1508.7,-1512.4,-1512.8,-1510.6,-1509.5,-1508.5,-1511.5,-1512.1,-1512.4,-1514.9
-12501,-12503,-12498,-12495,-12496,-12490,-12488,-12492,-12495,-12499,-12500,-12499,-12502,-12500,-12503,-12506,-12502,-12506,-12510,-12510,-12514,-12511,-12512,-12518,-12518,-12521
-7348.3,-7349.8,-7346.7,-7343.3,-7343.4,-7340,-7340.1,-7342.2,-7342.5,-7347,-7348,-7346.9,-7349,-7349,-7351.4,-7353.6,-7352.1,-7355.6,-7358.8,-7358.9,-7360.5,-7358.6,-7360.3,-7365.7,-7365.4,-7366.7
-5508.3,-5510.6,-5508.3,-5504.4,-5504,-5501.6,-5501.7,-5502.9,-5503,-5506.3,-5507.2,-5505.2,-5507.6,-5507.7,-5507.5,-5511.1,-5510.3,-5513.1,-5515.3,-5513.9,-5514.6,-5512,-5514.7,-5518.5,-5517.2,-5518.7
-3232.1,-3232.1,-3229.9,-3228.5,-3227.4,-3224.2,-3225.2,-3225.4,-3224.6,-3227.1,-3228.9,-3229.7,-3232.1,-3231.2,-3231,-3233.8,-3233.8,-3236.9,-3238.7,-3237.5,-3237.5,-3236.6,-3238.7,-3240.7,-3239.1,-3240.1
-4855.9,-4856.2,-4854.4,-4851.6,-4850.8,-4849.6,-4847.8,-4850.9,-4851.2,-4852.6,-4853.4,-4852,-4854,-4852,-4852.7,-4855.6,-4855.7,-4857.1,-4857.9,-4858,-4856.7,-4854.9,-4857.8,-4859.7,-4858.4,-4860.3
-23090,-23094,-23091,-23087,-23088,-23083,-23081,-23083,-23084,-23090,-23091,-23091,-23096,-23091,-23094,-23098,-23093,-23099,-23103,-23103,-23105,-23102,-23104,-23110,-23109,-23113
-11737,-11740,-11738,-11734,-11735,-11731,-11728,-11730,-11733,-11738,-11737,-11737,-11742,-11738,-11740,-11745,-11741,-11746,-11750,-11748,-11751,-11750,-11752,-11758,-11757,-11761
-9705.5,-9707.6,-9703.7,-9701.9,-9701.1,-9698.7,-9699.5,-9700,-9700.9,-9704.6,-9705.5,-9701.7,-9704.8,-9706.8,-9705.8,-9709.8,-9708,-9711.3,-9714.6,-9712.8,-9714.1,-9711,-9714.4,-9718.7,-9716.5,-9718.4
-7708.7,-7710.4,-7707.3,-7704.4,-7704,-7701.3,-7702.9,-7704.4,-7703.8,-7706.6,-7706.6,-7704.4,-7706.7,-7708,-7708.6,-7711.4,-7711.6,-7714.7,-7716.2,-7715.4,-7715.3,-7712,-7715.3,-7718.2,-7716,-7718.6
-6830,-6829.8,-6827.4,-6824.8,-6823,-6820.2,-6821.3,-6823.6,-6823.3,-6824.8,-6825.6,-6823.2,-6824.6,-6826,-6825.9,-6829.4,-6830.2,-6831.9,-6833.3,-6831.6,-6831.6,-6830.3,-6831.4,-6834.1,-6833.2,-6834.8
-11508,-11511,-11506,-11503,-11504,-11501,-11501,-11503,-11504,-11508,-11506,-11508,-11512,-11508,-11513,-11519,-11513,-11515,-11518,-11517,-11520,-11517,-11521,-11527,-11527,-11532
-7797.5,-7799.7,-7797,-7793.3,-7793.4,-7791.3,-7792.9,-7795.2,-7795.3,-7799.2,-7799.3,-7802.3,-7807.6,-7796.8,-7798.6,-7807.2,-7803.7,-7808.7,-7810.1,-7808,-7811.4,-7808.7,-7811.3,-7817.5,-7817.4,-7820.7
-8811.2,-8813.9,-8809.9,-8808.5,-8807.5,-8803.6,-8805.8,-8807.1,-8807.2,-8810.8,-8811.3,-8807,-8809.7,-8812,-8810.7,-8815.4,-8814.9,-8817.1,-8821,-8818.6,-8818.7,-8815.7,-8818.4,-8822.8,-8819,-8820.7
-5350,-5351.4,-5347.9,-5345.2,-5343.8,-5340.1,-5340.6,-5342,-5341.4,-5345.3,-5345.8,-5343.7,-5345.5,-5343.7,-5342.9,-5346.3,-5346.6,-5350.1,-5350.6,-5348,-5348.6,-5345.4,-5347.7,-5350.8,-5347.9,-5350.9
-10353,-10353,-10348,-10346,-10344,-10340,-10341,-10343,-10343,-10347,-10346,-10344,-10345,-10341,-10341,-10346,-10348,-10350,-10349,-10347,-10346,-10343,-10345,-10349,-10347,-10350
-10316,-10316,-10313,-10309,-10307,-10304,-10303,-10306,-10308,-10310,-10309,-10307,-10308,-10305,-10304,-10307,-10309,-10312,-10313,-10309,-10306,-10303,-10306,-10309,-10309,-10310
-5591,-5588.7,-5587,-5584.6,-5583.8,-5584.4,-5583.4,-5583.2,-5583.4,-5584.5,-5585.8,-5584.5,-5583,-5580.5,-5579.4,-5581.5,-5582.4,-5583.5,-5582.3,-5580.1,-5579.1,-5576.8,-5578.5,-5579.7,-5577.5,-5580.3
-750.6,-749.98,-748.96,-748.54,-749.82,-748.76,-747.85,-749.15,-749.95,-751.41,-750.16,-747.22,-747.6,-745.4,-744.76,-747.09,-747.35,-748.15,-748.64,-747.95,-746.7,-745.51,-746.78,-748.85,-748.35,-748.67
-9959.4,-9960.4,-9957.5,-9955.7,-9958.5,-9956.5,-9957.5,-9957.4,-9956.5,-9961.6,-9960.5,-9960.2,-9961.8,-9958.1,-9963.8,-9967.9,-9964.3,-9968.5,-9968.4,-9965.2,-9965.1,-9962.4,-9966.4,-9969.1,-9967.5,-9969.2
-10199,-10203,-10198,-10196,-10197,-10193,-10197,-10200,-10198,-10200,-10200,-10195,-10200,-10202,-10201,-10209,-10206,-10209,-10217,-10211,-10208,-10204,-10208,-10216,-10212,-10213
-9446.4,-9446.9,-9442.6,-9440.3,-9440.3,-9436.9,-9438.3,-9439.3,-9437.7,-9443,-9443,-9440.4,-9442.2,-9438.5,-9439.2,-9443.5,-9443.9,-9447.8,-9447.9,-9445.1,-9446,-9442.7,-9443.5,-9446.9,-9443.8,-9447.3
-9712,-9711,-9705.4,-9702.3,-9699.6,-9696.2,-9696.5,-9700.7,-9703.1,-9705.6,-9704.5,-9700.4,-9699.9,-9695.1,-9695.3,-9701.9,-9704.2,-9708.6,-9707.6,-9702.2,-9700.7,-9696.8,-9697.9,-9703,-9702.5,-9705.9
-8436.1,-8434.6,-8430.3,-8430.3,-8427.4,-8423.8,-8422.5,-8423.6,-8425,-8425.8,-8424.8,-8423.7,-8425.2,-8421,-8420.1,-8423.3,-8424.3,-8427.5,-8426.6,-8423.9,-8424.7,-8423.4,-8423.4,-8425.4,-8423.6,-8425.5
